0,2731713,54786,0,0,1473,614400,3686400
1,2731713,53090,0,0,1473,614400,3686400
2,2111308,55586,0,0,1904,614400,3686400
3,2731713,54786,0,0,1473,614400,3686400
4,6404251,56418,0,0,641,614400,7106560
5,1296389,54787,0,0,3073,40960,4128768
6,3549407,52227,0,0,1153,471040,5001216
7,2731713,54787,0,0,1473,626688,4222976
8,2715329,52707,0,0,1793,614400,4235264
9,1464748,58147,0,0,2736,614400,3686400
10,4924849,54467,0,0,833,614400,7151616
11,2768213,55011,0,0,1473,942080,4616192
12,2353471,54019,0,0,1729,614400,3686400
13,2111308,56835,0,0,1904,614400,3686400
14,694117, 51268,0,0,5377,40960,4128768
15,2678495,55586,0,0,1520,614400,3686400
